ocr_data,x1,y1,x2,y2,x3,y3,x4,y4,confident_level,ocr_similarityDateValue,ocr_similarityOCRValue,ocr_similarityInvoNoValue
Invoice no: 10060256,193,105,809,105,809,162,193,162,0.8397861668580757,1,0.742131,0
Date of issue:,197,208,524,208,524,270,197,270,0.9961903843099907,1,0.293118,0
12/22/2013,1199,207,1472,207,1472,264,1199,264,0.9430041177719595,0,0.287908,0
Seller:,192,660,388,660,388,720,192,720,0.9999421013727636,1,0.346113,0
Client:,1233,658,1427,658,1427,720,1233,720,0.9999420112573251,1,0.314606,0
Kim-Davenport,209,757,535,757,535,813,209,813,0.9961736071938972,1,0.187937,0
Baker-Dixon,1248,757,1511,757,1511,807,1248,807,0.9968459040796954,1,0.227058,0
4510 Mcguire Stravenue,209,812,730,812,730,867,209,867,0.9529161762810539,1,0.338278,0
60356 Kenneth Corners,1248,812,1755,812,1755,861,1248,861,0.9896892791610323,1,0.368526,0
"Jessicahaven, NV 75027",201,862,719,862,719,919,201,919,0.9665628489086365,1,0.262004,0
"Lake Justinberg, WA 57791",1247,861,1819,861,1819,923,1247,923,0.9463480141377579,1,0.242404,0
Tax Id: 992-99-5054,207,971,639,971,639,1020,207,1020,0.7730509067393976,1,0.348334,0
Tax Id: 980-85-0626,1245,971,1681,971,1681,1020,1245,1020,0.596166296482451,1,0.368333,0
IBAN: GBZIWBLP21480508497147,207,1026,946,1026,946,1075,207,1075,0.868780584308137,1,0.324464,0
ITEMS,193,1136,376,1136,376,1190,193,1190,0.9993388518996861,1,0.388985,0
No.,238,1268,304,1268,304,1304,238,1304,0.9985256966661346,1,0.812834,0
Description,357,1264,582,1264,582,1314,357,1314,0.8980441210383993,1,0.352392,0
UM,1167,1268,1233,1268,1233,1307,1167,1307,0.9999362745597775,1,0.435879,0
Net price,1347,1263,1529,1263,1529,1312,1347,1312,0.9998447555676865,1,0.268247,0
Net worth,1586,1268,1778,1268,1778,1304,1586,1304,0.6378698231337311,1,0.300125,0
VAT [%],1844,1265,2000,1265,2000,1310,1844,1310,0.9973194044628637,1,0.248004,0
Gross,2139,1267,2253,1267,2253,1308,2139,1308,0.9672776997968832,1,0.3035,0
worth,2137,1309,2250,1309,2250,1345,2137,1345,0.9998884172177832,1,0.359627,0
1,256,1404,277,1404,277,1434,256,1434,0.999994277962287,1,0.517555,0
Story of a Soul: The,353,1395,694,1395,694,1443,353,1443,0.6719803440995561,1,0.091124,0
"2,00",1008,1397,1091,1397,1091,1439,1008,1439,0.9999927282333374,1,0.406622,0
each,1153,1397,1241,1397,1241,1436,1153,1436,0.9999994039535522,1,0.345339,0
"9,35",1444,1397,1524,1397,1524,1436,1444,1436,0.7968114754581319,1,0.368592,0
"18,70",1679,1397,1781,1397,1781,1439,1679,1439,0.9999895508386168,1,0.385455,0
